"","log2FC","P.Value","adj.P.Val","Expression"
"ENSG00000162723",-6.91912609067215,6.3932108100384e-15,2.552210347182e-14,5.91078080851557
"ENSG00000260769",-6.89912491962433,7.72973979394664e-15,3.0614638711458e-14,7.02754742784718
"ENSG00000117877",7.04134010197062,9.43986750805039e-15,3.70957293480418e-14,5.5824870360492
"ENSG00000251087",-3.83342912493609,9.66009125531195e-15,3.7666867452883e-14,8.2834648546677
"ENSG00000213540",7.63507212749907,1.13557534817976e-14,4.39380307795706e-14,9.34516087311068
"ENSG00000140987",13.42824769675,1.17552973260552e-14,4.51367523282881e-14,10.0550568640033
"ENSG00000221065",9.19048507781477,1.26679085064251e-14,4.82724089297864e-14,8.09643871830417
"ENSG00000238443",6.38473793442278,1.28249673433964e-14,4.85034479227698e-14,5.92916228140537
"ENSG00000254090",3.09745175462472,1.40298274655558e-14,5.26642030983176e-14,7.75189265643034
"ENSG00000173402",-3.71532282084555,1.46420875060868e-14,5.4555333448605e-14,7.85497808176114
"ENSG00000008282",6.40398291106198,1.70929658436704e-14,6.32188369071044e-14,7.88385202425434
"ENSG00000185551",4.11499069754451,1.76463446960164e-14,6.4789134175885e-14,5.56900872877451
"ENSG00000199797",-11.4941476052456,1.83648086593161e-14,6.69383967799711e-14,8.97780917890021
"ENSG00000196670",10.8813810723738,2.09222512855892e-14,7.54472448203229e-14,8.00564988631546
"ENSG00000244618",-5.79254536944907,2.09992331507857e-14,7.54472448203229e-14,7.32409482906367
"ENSG00000054267",1.92901708748149,2.15591294407973e-14,7.69095185015675e-14,9.45181660305119
"ENSG00000185177",7.22763048859161,2.2979695421423e-14,8.13999070209562e-14,9.48995064994473
"ENSG00000222094",8.25398168579137,2.65698763242575e-14,9.34590754622484e-14,5.4392872804622
"ENSG00000200361",-2.88617732933459,2.73034172149513e-14,9.53723531883367e-14,7.30586752714209
"ENSG00000259838",-4.06188905149899,2.76350983907695e-14,9.58652033831522e-14,7.26396316071555
"ENSG00000230629",-4.96060630500491,3.48033658561869e-14,1.1990474675111e-13,8.34055213828398
"ENSG00000105610",-9.82644600582584,3.55506477311636e-14,1.21646093937247e-13,7.29785445928599
"ENSG00000283599",5.35797574896219,4.05006641584483e-14,1.37647527511483e-13,7.27766548771051
"ENSG00000188060",4.20762755481191,5.64809493531068e-14,1.90670587413508e-13,5.23231963928389
"ENSG00000262352",2.61288495870141,5.88512167927563e-14,1.97347746978376e-13,7.14626482572322
"ENSG00000207056",-4.77366214657383,7.04454032121161e-14,2.34662502090691e-13,6.31802001018272
"ENSG00000075624",-5.36887141759487,7.87266757333893e-14,2.59137506310184e-13,7.73853389818125
"ENSG00000055813",5.1068572238114,7.88231381023026e-14,2.59137506310184e-13,6.59108280160491
"ENSG00000230256",-10.8279093023826,8.59267553551316e-14,2.80656869763839e-13,7.40519133425716
"ENSG00000230870",-2.90664836016317,1.05060266470078e-13,3.40937509899674e-13,9.42864391116071
"ENSG00000282995",3.40966659283461,1.29856241984797e-13,4.1870313922021e-13,7.7113337933251
"ENSG00000265408",4.71415314334827,1.52985649793415e-13,4.90138737873172e-13,8.71601605555401
"ENSG00000238019",-5.03102866681747,1.79016681680524e-13,5.69907537248757e-13,8.70296867553996
"ENSG00000234424",6.62053943130179,1.91165614996928e-13,6.04756631090911e-13,6.15045663878237
"ENSG00000275524",5.13570484807886,2.01912193921012e-13,6.34761459639181e-13,9.56901499680263
"ENSG00000226928",-11.0748401740126,2.45737037732161e-13,7.67737453287435e-13,6.10641767539235
"ENSG00000255356",-6.81669669903123,2.49402278956183e-13,7.74378680956544e-13,6.09719440071449
"ENSG00000279697",-3.0963111439713,2.66206211751218e-13,8.2148297245928e-13,9.23444513374119
"ENSG00000272264",-4.08040272104766,3.69903153351269e-13,1.13452003741273e-12,6.87947176287067
"ENSG00000180626",-3.17802756278756,4.04277340321474e-13,1.23243334655577e-12,11.4139270017786
"ENSG00000271113",-4.15581163436763,4.14336838735157e-13,1.25549054146858e-12,10.3656798526819
"ENSG00000204658",6.4626352410983,4.34497777381965e-13,1.30869689834209e-12,6.549712209035
"ENSG00000198483",9.55556954359768,4.86174378647473e-13,1.45562924083142e-12,7.17668884562793
"ENSG00000168803",-7.77492225219421,8.37667660640998e-13,2.4931765284167e-12,5.41159110411701
"ENSG00000180745",-6.01580931023574,9.09832501697696e-13,2.69203381384671e-12,6.19340709877452
"ENSG00000249031",6.88915993481926,1.02336269135952e-12,3.01024230265403e-12,7.55863073232482
"ENSG00000213619",-4.93884264678371,1.05218808987163e-12,3.07703842561298e-12,7.30430829796412
"ENSG00000277282",-7.82763917782691,1.20100689215237e-12,3.49194489452395e-12,7.47875833019151
"ENSG00000254193",6.45318428808436,1.26901099125891e-12,3.66846280806454e-12,6.31333272807906
"ENSG00000119514",-3.13732579441647,1.29742037580794e-12,3.72915685160796e-12,9.07812806195023
"ENSG00000256928",-8.74409099549607,1.33198940656472e-12,3.80676517898894e-12,6.54315539283899
"ENSG00000262636",-4.14764862595317,1.50044531534469e-12,4.26397736507559e-12,8.41865811592857
"ENSG00000211859",5.72815863485816,1.74709849024965e-12,4.9370255089639e-12,8.23969351484458
"ENSG00000211698",3.11552889388638,1.78614798714067e-12,5.01917562866903e-12,9.49281448642823
"ENSG00000263567",-4.69129426071429,2.6002100111753e-12,7.26614242011765e-12,10.3745032533807
"ENSG00000165389",3.01855097941191,3.42086816214632e-12,9.46554059788697e-12,10.1622880399492
"ENSG00000168802",2.2028884394084,3.42490733362908e-12,9.46554059788697e-12,9.00993391866169
"ENSG00000109705",2.74331314589806,3.95526949570566e-12,1.08715877395626e-11,9.38378951561861
"ENSG00000235598",4.07418353907788,5.08340430100626e-12,1.38458752194161e-11,7.84774322940257
"ENSG00000182247",5.09021358803901,5.09241931529221e-12,1.38458752194161e-11,7.95629367760586
"ENSG00000257966",1.81374240275463,6.22483523754772e-12,1.68338286262715e-11,10.2785356965238
"ENSG00000270170",9.24117165864097,7.02932073275222e-12,1.88550284007012e-11,7.410244338131
"ENSG00000174370",-2.2190935231116,7.04720743405931e-12,1.88550284007012e-11,9.89037059605161
"ENSG00000233977",-2.54628372500139,8.60310127099597e-12,2.28324646817326e-11,7.7174154797761
"ENSG00000280709",-7.64663275151489,8.64855900136929e-12,2.28324646817326e-11,5.53201845140825
"ENSG00000228882",5.70000946503305,8.66998161870959e-12,2.28324646817326e-11,9.02392938022211
"ENSG00000239300",9.41094047026984,9.27089537795326e-12,2.42878144537005e-11,4.51805137041276
"ENSG00000176720",-7.05412033554104,1.23030470270736e-11,3.20644178995751e-11,7.18197750820651
"ENSG00000219757",5.9360979241438,1.27479741167903e-11,3.30527370141521e-11,4.70722179586713
"ENSG00000257191",2.97661112340749,1.28782183341671e-11,3.32191990876208e-11,8.20838652270126
"ENSG00000266973",10.3541316080876,1.38044082676651e-11,3.54266191767119e-11,7.03853385473725
"ENSG00000252606",4.32429397235818,1.4414256209067e-11,3.66698243102464e-11,8.32615695973088
"ENSG00000262141",-8.0663302838441,1.4434642571429e-11,3.66698243102464e-11,5.26348168731795
"ENSG00000174255",6.7958437809924,1.57336818876136e-11,3.97690552234656e-11,8.63219076350301
"ENSG00000159069",2.29802734290531,1.59766584850833e-11,4.01812960899844e-11,8.98869495811207
"ENSG00000231767",2.00630235746479,1.64377125301771e-11,4.11351711576075e-11,10.5927001868547
"ENSG00000213621",-6.67566226888776,1.68146046949419e-11,4.18700305027513e-11,6.09076291535208
"ENSG00000115687",-7.39588249349472,1.70371527095987e-11,4.22152109011238e-11,9.50546963969986
"ENSG00000179381",4.81859515554209,1.71467448161474e-11,4.22784933456969e-11,5.06422069374944
"ENSG00000230112",2.09225782357609,1.77673973836419e-11,4.35951262632774e-11,9.94094218555035
"ENSG00000212123",2.08135437325977,2.62105909195307e-11,6.3999646759825e-11,7.35607613813861
"ENSG00000267275",-3.17222473969335,2.72192645466829e-11,6.61414979081233e-11,9.43805353154297
"ENSG00000205745",1.76691160907571,3.19229892097554e-11,7.71983825601298e-11,7.86079023160504
"ENSG00000259031",-2.05103382900759,3.31457506356693e-11,7.97718304772328e-11,10.5665596555251
"ENSG00000248809",2.91070316740126,3.81664494255827e-11,9.14177336241338e-11,6.94335957870104
"ENSG00000279526",-4.32066616513854,3.91959956769459e-11,9.34387953815346e-11,7.46008860105781
"ENSG00000258811",-1.80129242721923,4.0111474638849e-11,9.51701497327407e-11,10.8231528434556
"ENSG00000173950",4.9835534534256,4.33002610462155e-11,1.02253668104443e-10,8.03451417417737
"ENSG00000272078",-2.09470602793495,4.64065342337691e-11,1.09077040745728e-10,8.5675944793539
"ENSG00000115170",-1.91350569111193,4.93496602005168e-11,1.15455251538883e-10,9.35858964460233
"ENSG00000214107",2.74284404426756,5.08324228059765e-11,1.18361465083783e-10,8.39753711318982
"ENSG00000251789",-3.24169075352784,5.10625008413139e-11,1.18361465083783e-10,10.3447831607733
"ENSG00000264491",-4.72432042234399,5.56593429216154e-11,1.2842499765859e-10,8.11921013059905
