"","log2FC","P.Value","adj.P.Val","Expression"
"ENSG00000174370",-2.8431046260361,8.37274139537764e-11,1.81529694908403e-10,9.89037059605161
"ENSG00000199603",-3.74168598019682,9.19774034674461e-11,1.98560660704401e-10,6.23599809652253
"ENSG00000151364",-5.60491388922675,1.06852431081692e-10,2.29687063393551e-10,6.59628361042389
"ENSG00000145384",2.38614428814128,1.11269517022652e-10,2.38164115159123e-10,7.33074395802426
"ENSG00000173950",-4.58691581945084,1.44190270847948e-10,3.07320789137786e-10,8.03451417417737
"ENSG00000231103",6.49197155696073,1.46412635969847e-10,3.10740742163852e-10,4.81069093298903
"ENSG00000115607",5.02011687445026,1.49403308833096e-10,3.15755732533812e-10,6.14825234907473
"ENSG00000132000",3.23281207349912,1.51140637955579e-10,3.18090966073875e-10,9.58193269539646
"ENSG00000206781",6.04073806843248,1.69656590053677e-10,3.54511700418498e-10,7.25669705163945
"ENSG00000230870",2.22258413471341,1.69855506562342e-10,3.54511700418498e-10,9.42864391116071
"ENSG00000241246",-3.68933199689961,1.7177725163156e-10,3.5704114698626e-10,7.07087692777954
"ENSG00000243664",3.02114267608141,2.41019497993289e-10,4.98900442348249e-10,8.1296583117589
"ENSG00000257281",-1.72623047830509,3.40257195482932e-10,7.01431841507849e-10,8.55683021964433
"ENSG00000231276",6.43223822688225,3.61704710805988e-10,7.4260191647107e-10,6.48840854660857
"ENSG00000229704",3.44260759910809,4.23798266543523e-10,8.6654686207883e-10,8.13955821412226
"ENSG00000227940",-6.83770248700101,6.74603449740375e-10,1.37378759198141e-09,7.20979686617233
"ENSG00000238386",4.12104606050952,6.94134223111196e-10,1.40786094445537e-09,7.70678926724584
"ENSG00000280707",2.06666724805654,7.04009341589053e-10,1.41304328643977e-09,7.11367315578367
"ENSG00000102290",2.58857347319745,7.0405548520043e-10,1.41304328643977e-09,11.727783157794
"ENSG00000235797",-3.43046769841864,7.05117027627003e-10,1.41304328643977e-09,7.24956521333539
"ENSG00000158863",4.37338589295895,8.07367853192759e-10,1.61153186569825e-09,6.97180168287755
"ENSG00000215807",2.85196747374506,8.90704244755664e-10,1.77084677909921e-09,9.64736111542045
"ENSG00000244740",-2.85839521937581,9.58764291744493e-10,1.89865527065937e-09,9.76239727306538
"ENSG00000215374",-4.5135383425896,1.23849265619236e-09,2.44298747476376e-09,8.20068523189866
"ENSG00000240309",8.09101323998178,1.2514819149492e-09,2.45896641882597e-09,5.19099661334251
"ENSG00000272543",3.81481801443381,1.514511944883e-09,2.96420042130797e-09,6.93767130873855
"ENSG00000277282",6.10046684678314,1.73402031816284e-09,3.38066751951902e-09,7.47875833019151
"ENSG00000184517",-3.70261331460115,2.06395586186037e-09,4.00837760044697e-09,7.38945057996069
"ENSG00000233005",6.05613792323918,2.32180837155725e-09,4.49180619574346e-09,8.09587891228503
"ENSG00000179381",-3.32042271944479,2.38747194095527e-09,4.60114324253065e-09,5.06422069374944
"ENSG00000137872",3.23304776468806,2.68510000487541e-09,5.15498207042874e-09,8.19272317478985
"ENSG00000237546",6.24061515585546,2.88361657719434e-09,5.51505375790401e-09,4.26439629164302
"ENSG00000274588",5.98450025520075,3.30541311060657e-09,6.29781361604206e-09,6.37799022346102
"ENSG00000228620",3.24660272209879,4.69238644258146e-09,8.90668068157916e-09,6.78158547884092
"ENSG00000204658",-2.56124105198974,4.79708222142771e-09,9.07117427585766e-09,6.549712209035
"ENSG00000180626",2.21150505888814,5.58825367603841e-09,1.0527683891563e-08,11.4139270017786
"ENSG00000213397",2.74734059370886,6.30192212931814e-09,1.1827861309877e-08,8.0539217993533
"ENSG00000235908",4.33540445709061,7.15253584076105e-09,1.33744443416461e-08,7.48494446817139
"ENSG00000251191",5.03624833430733,7.54472720623003e-09,1.40555473508656e-08,8.34775754774862
"ENSG00000175866",-5.72838518638348,1.11340408804702e-08,2.06657659146734e-08,7.4103149391897
"ENSG00000101084",4.739324269416,1.36026523672763e-08,2.51549049291911e-08,6.76799008522874
"ENSG00000272264",2.81644151272756,1.5237044116809e-08,2.80741142518495e-08,6.87947176287067
"ENSG00000253747",1.85311122489872,1.9538472278323e-08,3.58680713722498e-08,9.40726045394814
"ENSG00000067836",-7.21047221289118,2.26846712942691e-08,4.14923260400631e-08,7.85668704752459
"ENSG00000258476",-4.25174156014595,2.76868069794363e-08,5.04582025748422e-08,6.23888890495864
"ENSG00000175946",-1.62101925409977,3.52351238016495e-08,6.39829143401794e-08,10.8161747501167
"ENSG00000087269",2.19204328803697,4.66313482811146e-08,8.43725474294988e-08,10.8062793951669
"ENSG00000273407",-4.11892805646538,4.76965006959442e-08,8.59904654124011e-08,9.38519232510567
"ENSG00000255356",4.45313033935122,5.17360230571383e-08,9.29400699919306e-08,6.09719440071449
"ENSG00000199797",6.44468837821658,5.88301603042723e-08,1.05308080544658e-07,8.97780917890021
"ENSG00000265408",1.62946262581994,6.52021633252905e-08,1.16300312597947e-07,8.71601605555401
"ENSG00000167283",-3.25162989872182,6.95784010458901e-08,1.23667617406653e-07,8.5023252565816
"ENSG00000141655",2.55270304188903,7.80596183743525e-08,1.38253479022181e-07,8.42726083831554
"ENSG00000282907",1.82892268169707,7.93106342428129e-08,1.39976312365386e-07,6.76008600612866
"ENSG00000176566",-1.75919857264381,9.36498604132651e-08,1.64705873384169e-07,9.18460320093383
"ENSG00000198099",-1.75584977562892,9.9549697363969e-08,1.74472117679709e-07,5.7567409957781
"ENSG00000151229",-2.98183161421697,1.01196078421353e-07,1.76741761965072e-07,7.72071720910886
"ENSG00000224410",-2.43312912644058,1.038658128293e-07,1.80776829941653e-07,7.9437602459671
"ENSG00000253886",1.48232960883307,1.22574306801428e-07,2.12603021796959e-07,9.2020900983686
"ENSG00000239211",3.31650804010825,1.24446556468892e-07,2.15108652590559e-07,8.20063162242389
"ENSG00000206871",-2.30798750737325,1.42294180124087e-07,2.45116344528822e-07,9.94094155580921
"ENSG00000169575",-4.64821328305035,1.56165318498792e-07,2.68092679880178e-07,6.10317871551946
"ENSG00000213540",1.66422592636303,1.63224717350049e-07,2.79258615058078e-07,9.34516087311068
